GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Median gross rent
1500000US480291219031,480291219031,"Block Group 1, Census Tract 1219.03, Bexar County, Texas",1336
1500000US480291219032,480291219032,"Block Group 2, Census Tract 1219.03, Bexar County, Texas",1667
1500000US480291219041,480291219041,"Block Group 1, Census Tract 1219.04, Bexar County, Texas",1726
1500000US480291219042,480291219042,"Block Group 2, Census Tract 1219.04, Bexar County, Texas",1683
1500000US480291219051,480291219051,"Block Group 1, Census Tract 1219.05, Bexar County, Texas",1250
1500000US480291219052,480291219052,"Block Group 2, Census Tract 1219.05, Bexar County, Texas",1201
1500000US480291219061,480291219061,"Block Group 1, Census Tract 1219.06, Bexar County, Texas",1195
1500000US480291219062,480291219062,"Block Group 2, Census Tract 1219.06, Bexar County, Texas",1176
1500000US480291219071,480291219071,"Block Group 1, Census Tract 1219.07, Bexar County, Texas",-
1500000US480291219072,480291219072,"Block Group 2, Census Tract 1219.07, Bexar County, Texas",1556
1500000US480291219081,480291219081,"Block Group 1, Census Tract 1219.08, Bexar County, Texas",-
1500000US480291219082,480291219082,"Block Group 2, Census Tract 1219.08, Bexar County, Texas",1984
1500000US480291219091,480291219091,"Block Group 1, Census Tract 1219.09, Bexar County, Texas",1201
1500000US480291219092,480291219092,"Block Group 2, Census Tract 1219.09, Bexar County, Texas",1323
1500000US480291219101,480291219101,"Block Group 1, Census Tract 1219.10, Bexar County, Texas",1605
1500000US480291219102,480291219102,"Block Group 2, Census Tract 1219.10, Bexar County, Texas",-
1500000US480291302001,480291302001,"Block Group 1, Census Tract 1302, Bexar County, Texas",815
1500000US480291302002,480291302002,"Block Group 2, Census Tract 1302, Bexar County, Texas",809
1500000US480291303001,480291303001,"Block Group 1, Census Tract 1303, Bexar County, Texas",847
1500000US480291303002,480291303002,"Block Group 2, Census Tract 1303, Bexar County, Texas",739
1500000US480291303003,480291303003,"Block Group 3, Census Tract 1303, Bexar County, Texas",875
1500000US480291303004,480291303004,"Block Group 4, Census Tract 1303, Bexar County, Texas",848
1500000US480291304011,480291304011,"Block Group 1, Census Tract 1304.01, Bexar County, Texas",732
1500000US480291304012,480291304012,"Block Group 2, Census Tract 1304.01, Bexar County, Texas",558
1500000US480291304013,480291304013,"Block Group 3, Census Tract 1304.01, Bexar County, Texas",636
1500000US480291304014,480291304014,"Block Group 4, Census Tract 1304.01, Bexar County, Texas",618
1500000US480291304021,480291304021,"Block Group 1, Census Tract 1304.02, Bexar County, Texas",944
1500000US480291304022,480291304022,"Block Group 2, Census Tract 1304.02, Bexar County, Texas",618
1500000US480291304023,480291304023,"Block Group 3, Census Tract 1304.02, Bexar County, Texas",751
1500000US480291305001,480291305001,"Block Group 1, Census Tract 1305, Bexar County, Texas",-
1500000US480291305002,480291305002,"Block Group 2, Census Tract 1305, Bexar County, Texas",967
1500000US480291305003,480291305003,"Block Group 3, Census Tract 1305, Bexar County, Texas",643
1500000US480291305004,480291305004,"Block Group 4, Census Tract 1305, Bexar County, Texas",779
1500000US480291306001,480291306001,"Block Group 1, Census Tract 1306, Bexar County, Texas",656
1500000US480291306002,480291306002,"Block Group 2, Census Tract 1306, Bexar County, Texas",-
1500000US480291306003,480291306003,"Block Group 3, Census Tract 1306, Bexar County, Texas",584
1500000US480291306004,480291306004,"Block Group 4, Census Tract 1306, Bexar County, Texas",832
1500000US480291307001,480291307001,"Block Group 1, Census Tract 1307, Bexar County, Texas",733
