the_geom,cartodb_id,tract,estimate_gross_rent___occupied_units_paying_rent___median_dol,geography
,57,48029121809,1170,"Census Tract 1218.09, Bexar County, Texas"
,58,48029121810,1319,"Census Tract 1218.10, Bexar County, Texas"
,59,48029121811,1511,"Census Tract 1218.11, Bexar County, Texas"
,60,48029121812,1253,"Census Tract 1218.12, Bexar County, Texas"
,61,48029121813,1331,"Census Tract 1218.13, Bexar County, Texas"
,62,48029121903,1375,"Census Tract 1219.03, Bexar County, Texas"
,63,48029121904,1716,"Census Tract 1219.04, Bexar County, Texas"
,64,48029121905,1214,"Census Tract 1219.05, Bexar County, Texas"
,65,48029121906,1182,"Census Tract 1219.06, Bexar County, Texas"
,66,48029121907,1537,"Census Tract 1219.07, Bexar County, Texas"
,67,48029121908,1992,"Census Tract 1219.08, Bexar County, Texas"
,68,48029121909,1269,"Census Tract 1219.09, Bexar County, Texas"
,69,48029121910,1575,"Census Tract 1219.10, Bexar County, Texas"
,70,48029130200,810,"Census Tract 1302, Bexar County, Texas"
,71,48029130300,839,"Census Tract 1303, Bexar County, Texas"
,72,48029130401,618,"Census Tract 1304.01, Bexar County, Texas"
,73,48029130402,643,"Census Tract 1304.02, Bexar County, Texas"
,74,48029130500,699,"Census Tract 1305, Bexar County, Texas"
,75,48029130600,671,"Census Tract 1306, Bexar County, Texas"
,76,48029130700,724,"Census Tract 1307, Bexar County, Texas"
,77,48029130800,840,"Census Tract 1308, Bexar County, Texas"
,78,48029130900,782,"Census Tract 1309, Bexar County, Texas"
,79,48029131000,831,"Census Tract 1310, Bexar County, Texas"
,80,48029131100,790,"Census Tract 1311, Bexar County, Texas"
,81,48029131200,732,"Census Tract 1312, Bexar County, Texas"
,82,48029131300,851,"Census Tract 1313, Bexar County, Texas"
,83,48029131401,845,"Census Tract 1314.01, Bexar County, Texas"
,84,48029131402,946,"Census Tract 1314.02, Bexar County, Texas"
,85,48029131503,856,"Census Tract 1315.03, Bexar County, Texas"
,86,48029131504,1054,"Census Tract 1315.04, Bexar County, Texas"
,87,48029131505,1198,"Census Tract 1315.05, Bexar County, Texas"
,88,48029131506,1096,"Census Tract 1315.06, Bexar County, Texas"
,89,48029131507,1008,"Census Tract 1315.07, Bexar County, Texas"
,90,48029131601,994,"Census Tract 1316.01, Bexar County, Texas"
,91,48029131606,978,"Census Tract 1316.06, Bexar County, Texas"
,92,48029131608,948,"Census Tract 1316.08, Bexar County, Texas"
,93,48029131609,1284,"Census Tract 1316.09, Bexar County, Texas"
,94,48029131610,1160,"Census Tract 1316.10, Bexar County, Texas"
,95,48029131611,1420,"Census Tract 1316.11, Bexar County, Texas"
,96,48029131612,1287,"Census Tract 1316.12, Bexar County, Texas"
,97,48029131613,1334,"Census Tract 1316.13, Bexar County, Texas"
,98,48029131614,1274,"Census Tract 1316.14, Bexar County, Texas"
,99,48029131615,1081,"Census Tract 1316.15, Bexar County, Texas"
,100,48029131700,1805,"Census Tract 1317, Bexar County, Texas"
,101,48029131801,914,"Census Tract 1318.01, Bexar County, Texas"
,102,48029131802,844,"Census Tract 1318.02, Bexar County, Texas"
,103,48029140100,699,"Census Tract 1401, Bexar County, Texas"
,104,48029140200,609,"Census Tract 1402, Bexar County, Texas"
,105,48029140300,697,"Census Tract 1403, Bexar County, Texas"
,106,48029140400,847,"Census Tract 1404, Bexar County, Texas"
,107,48029140500,995,"Census Tract 1405, Bexar County, Texas"
,108,48029140600,820,"Census Tract 1406, Bexar County, Texas"
,109,48029140700,623,"Census Tract 1407, Bexar County, Texas"
,110,48029140800,763,"Census Tract 1408, Bexar County, Texas"
,111,48029140900,822,"Census Tract 1409, Bexar County, Texas"
,112,48029141000,633,"Census Tract 1410, Bexar County, Texas"
,113,48029141101,736,"Census Tract 1411.01, Bexar County, Texas"
,114,48029141102,738,"Census Tract 1411.02, Bexar County, Texas"
,115,48029141200,765,"Census Tract 1412, Bexar County, Texas"
,116,48029141300,750,"Census Tract 1413, Bexar County, Texas"
,117,48029141402,841,"Census Tract 1414.02, Bexar County, Texas"
,118,48029141403,941,"Census Tract 1414.03, Bexar County, Texas"
,119,48029141404,738,"Census Tract 1414.04, Bexar County, Texas"
,120,48029141600,1089,"Census Tract 1416, Bexar County, Texas"
,121,48029141700,913,"Census Tract 1417, Bexar County, Texas"
,122,48029141800,849,"Census Tract 1418, Bexar County, Texas"
,123,48029141900,790,"Census Tract 1419, Bexar County, Texas"
,124,48029150100,779,"Census Tract 1501, Bexar County, Texas"
,125,48029150300,713,"Census Tract 1503, Bexar County, Texas"
,126,48029150400,675,"Census Tract 1504, Bexar County, Texas"
,127,48029150501,700,"Census Tract 1505.01, Bexar County, Texas"
,128,48029150502,812,"Census Tract 1505.02, Bexar County, Texas"
,129,48029150600,778,"Census Tract 1506, Bexar County, Texas"
,130,48029150700,816,"Census Tract 1507, Bexar County, Texas"
,131,48029150800,448,"Census Tract 1508, Bexar County, Texas"
,132,48029150900,596,"Census Tract 1509, Bexar County, Texas"
,133,48029151000,698,"Census Tract 1510, Bexar County, Texas"
,134,48029151100,885,"Census Tract 1511, Bexar County, Texas"
,135,48029151200,800,"Census Tract 1512, Bexar County, Texas"
,136,48029151301,777,"Census Tract 1513.01, Bexar County, Texas"
,137,48029151302,730,"Census Tract 1513.02, Bexar County, Texas"
,138,48029151400,727,"Census Tract 1514, Bexar County, Texas"
,139,48029151500,708,"Census Tract 1515, Bexar County, Texas"
,140,48029151600,793,"Census Tract 1516, Bexar County, Texas"
,141,48029151700,713,"Census Tract 1517, Bexar County, Texas"
,142,48029151900,910,"Census Tract 1519, Bexar County, Texas"
,143,48029152000,867,"Census Tract 1520, Bexar County, Texas"
,144,48029152100,943,"Census Tract 1521, Bexar County, Texas"
,145,48029152201,855,"Census Tract 1522.01, Bexar County, Texas"
,146,48029152202,638,"Census Tract 1522.02, Bexar County, Texas"
,147,48029160100,643,"Census Tract 1601, Bexar County, Texas"
,148,48029160200,765,"Census Tract 1602, Bexar County, Texas"
,149,48029160300,912,"Census Tract 1603, Bexar County, Texas"
,150,48029160400,746,"Census Tract 1604, Bexar County, Texas"
,151,48029160501,462,"Census Tract 1605.01, Bexar County, Texas"
,152,48029160502,779,"Census Tract 1605.02, Bexar County, Texas"
,153,48029160600,756,"Census Tract 1606, Bexar County, Texas"
,154,48029160701,681,"Census Tract 1607.01, Bexar County, Texas"
,155,48029160702,596,"Census Tract 1607.02, Bexar County, Texas"
,156,48029160901,636,"Census Tract 1609.01, Bexar County, Texas"
,157,48029160902,691,"Census Tract 1609.02, Bexar County, Texas"
,158,48029161000,734,"Census Tract 1610, Bexar County, Texas"
,159,48029161100,649,"Census Tract 1611, Bexar County, Texas"
,160,48029161200,900,"Census Tract 1612, Bexar County, Texas"
,161,48029161302,919,"Census Tract 1613.02, Bexar County, Texas"
,162,48029161303,931,"Census Tract 1613.03, Bexar County, Texas"
,163,48029161304,818,"Census Tract 1613.04, Bexar County, Texas"
,164,48029161400,1585,"Census Tract 1614, Bexar County, Texas"
,165,48029161501,758,"Census Tract 1615.01, Bexar County, Texas"
,166,48029161503,976,"Census Tract 1615.03, Bexar County, Texas"
