GameID,DateGame,VisitorTeam,HomeTeam,ShotType,PlayerID,PlayerName,XCoord,YCoord,ShotDistance
201710210CHI,2017-10-21,SAS,CHI,fg2x,greenda02,"Danny Green",-89,148,17.00
201710210CHI,2017-10-21,SAS,CHI,fg2,anderky01,"Kyle Anderson",45,73,8.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,ginobma01,"Manu Ginobili",7,66,6.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,aldrila01,"LaMarcus Aldridge",-5,13,1.00
201710210CHI,2017-10-21,SAS,CHI,fg2,aldrila01,"LaMarcus Aldridge",-84,145,16.00
201710210CHI,2017-10-21,SAS,CHI,fg2,gayru01,"Rudy Gay",6,15,1.00
201710210CHI,2017-10-21,SAS,CHI,fg2,gayru01,"Rudy Gay",9,20,2.00
201710210CHI,2017-10-21,SAS,CHI,fg2,ginobma01,"Manu Ginobili",-4,4,0.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,gasolpa01,"Pau Gasol",-9,6,1.00
201710210CHI,2017-10-21,SAS,CHI,fg2,gasolpa01,"Pau Gasol",3,7,0.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,greenda02,"Danny Green",16,80,8.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,gasolpa01,"Pau Gasol",0,67,6.00
201710210CHI,2017-10-21,SAS,CHI,fg2,murrade01,"Dejounte Murray",-44,81,9.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,aldrila01,"LaMarcus Aldridge",-176,12,17.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,aldrila01,"LaMarcus Aldridge",-3,71,7.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,anderky01,"Kyle Anderson",8,32,3.00
201710210CHI,2017-10-21,SAS,CHI,fg2,aldrila01,"LaMarcus Aldridge",0,-6,0.00
201710210CHI,2017-10-21,SAS,CHI,fg2,aldrila01,"LaMarcus Aldridge",-18,20,2.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,aldrila01,"LaMarcus Aldridge",5,43,4.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,greenda02,"Danny Green",140,20,14.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,murrade01,"Dejounte Murray",136,-6,13.00
201710210CHI,2017-10-21,SAS,CHI,fg2,aldrila01,"LaMarcus Aldridge",0,-6,0.00
